Year;CommodityCode;CropName;CountyCode;County;HarvestedAcres;Yield(Unit/Acre);Production;Price(Dollars/Unit);Unit;Value(Dollars)
1980;216299;GRAPESWINE;73;SanDiego;164;2.10;344;279;TONS;96000
1981;216299;GRAPESWINE;73;SanDiego;149;3.30;492;472;TONS;232000
1982;216299;GRAPESWINE;73;SanDiego;281;2.60;731;404;TONS;295000
1983;216299;GRAPESWINE;73;SanDiego;213;1.90;405;415;TONS;168000
1984;216299;GRAPESWINE;73;SanDiego;175;1.80;315;310;TONS;97700
1985;216299;GRAPESWINE;73;SanDiego;115;1.60;184;210;TONS;38600
1986;216299;GRAPESWINE;73;SanDiego;90;1.40;126;330;;41600
1987;216299;GRAPESWINE;73;SanDiego;90;1.50;135;240;TONS;32400
1988;216299;GRAPESWINE;73;SanDiego;75;1.31;98;249;TONS;24375
1989;216299;GRAPESWINE;73;SanDiego;115;3.40;391;250;TONS;97750
1990;216299;GRAPESWINE;73;SanDiego;134;2.99;400;261;TONS;104500
1991;216299;GRAPESWINE;73;SanDiego;136;3.45;469;285;TONS;133700
1992;216299;GRAPESWINE;73;SanDiego;162;4.71;763;285;TONS;217500
1993;216299;GRAPESWINE;73;SanDiego;162;2.65;429;497;TONS;213400
1994;216299;GRAPESWINE;73;SanDiego;162;3.01;488;478;TONS;233100
1995;216299;GRAPESWINE;73;SanDiego;187;2.85;533;220;TONS;117300
1996;216299;GRAPESWINE;73;SanDiego;187;3.22;602;218;TONS;131200
1997;216299;GRAPESWINE;73;SanDiego;187;2.99;559;508;TONS;284000
1998;216299;GRAPESWINE;73;SanDiego;187;2.58;483;489;TONS;236400
1999;216299;GRAPESWINE;73;SanDiego;189;2.03;384;420;TON;161200
2000;216299;GRAPESWINE;73;SanDiego;175;1.84;322;300;TON;96600
2001;216299;GRAPESWINE;73;SanDiego;180;1.87;337;250;TONS;84200
2002;216299;GRAPESWINE;73;SanDiego;173;1.38;239;259;TON;61800
2003;216299;GRAPESWINE;73;SanDiego;304;2.08;632;380.22;TON;240300
2004;216299;GRAPESWINE;73;SanDiego;300;1.80;540;700.00;TON;378000
2005;216299;GRAPESWINE;73;SanDiego;268;2.30;616;634.42;TONS;390800
2006;216299;GRAPESWINE;73;SanDiego;309;2.10;649;797.84;TONS;517800
2007;216299;GRAPESWINE;73;SanDiego;328;1.90;623;995.35;TON;620100
2008;216299;GRAPESWINE;73;SanDiego;365;1.70;621;1020.13;TON;633500
2009;216299;GRAPESWINE;73;SanDiego;489;1.50;734;1203.13;Tons;883100
2010;216299;GRAPESWINE;73;SanDiego;447;1.7;760;1032.89;Tons;785000
2011;216299;GRAPESWINE;73;SanDiego;416;2;832;1086.54;Tons;904000
2012;216299;GRAPESWINE;73;SanDiego;752;6.40;4810;1149.69;Tons;5530000
2013;216299;GRAPESWINE;73;SanDiego;842;5.00;4210;1547.03;tons;6513000
2014;216299;GRAPESWINE;73;SanDiego;923;4.60;4250;1545.41;Tons;6568000
2015;216299;GRAPESWINE;73;SanDiego;969;3.00;2910;1454.64;Tons;4233000
2016;216299;GRAPESWINE;73;SanDiego;930;2.71;2520;1192.46;Tons;3005000
2017;216299;GRAPESWINE;73;SanDiego;1210;2.30;2780;1386.33;Tons;3854000
2018;216299;GRAPESWINE;73;SanDiego;1640;2.00;3280;1399.70;Tons;4591000
2019;216299;GRAPESWINE;73;SanDiego;1510;2.38;3600;1550;Tons;5580000
2020;216299;GRAPESWINE;73;SanDiego;1370;2.24;3070;1695.77;Tons;5206000
